iter	Logloss
0	0.6894284723
1	0.6856315816
2	0.6821189384
3	0.6787907672
4	0.676056348
5	0.6736314771
6	0.6710317105
7	0.6684103751
8	0.6662504635
9	0.6641845408
10	0.6621160053
11	0.6602658346
12	0.6587423609
13	0.657186094
14	0.6559128249
15	0.65440997
16	0.6530671267
17	0.6520300869
18	0.651105578
19	0.6499529019
20	0.6489912967
21	0.6480939032
22	0.6472221001
23	0.6461694196
24	0.645156551
25	0.6443338341
26	0.6436481777
27	0.642794729
28	0.6418651875
29	0.6410314002
30	0.6403569852
31	0.6397260473
32	0.6391575828
33	0.6386570563
34	0.6380898807
35	0.6372765658
36	0.6367556239
37	0.6360854259
38	0.6355041915
39	0.6349388441
40	0.6343313868
41	0.6338730676
42	0.6334051223
43	0.6328333082
44	0.6323780386
45	0.6320109796
46	0.6315233399
47	0.6309986377
48	0.6302788697
49	0.6297117303
50	0.6293919421
51	0.6288890906
52	0.6283160272
53	0.6279014563
54	0.6273730383
55	0.6268875721
56	0.6264230111
57	0.6260086524
58	0.6256025431
59	0.6251255132
60	0.6248103908
61	0.6244202032
62	0.6237546466
63	0.6233599657
64	0.6230211603
65	0.6227114123
66	0.6221095715
67	0.6218497832
68	0.621461461
69	0.6209889131
70	0.6207082652
71	0.6204232812
72	0.6200248243
73	0.6193978069
74	0.6191675712
75	0.6187545171
76	0.6185593671
77	0.6182610451
78	0.618086588
79	0.617575233
80	0.6172231498
81	0.6168709971
82	0.6164482527
83	0.616142327
84	0.6158723251
85	0.6154891173
86	0.6151969276
87	0.614710386
88	0.6141489615
89	0.6140059887
90	0.6135255557
91	0.6131285196
92	0.6128140415
93	0.6124508413
94	0.6121233026
95	0.611986447
96	0.6116203582
97	0.6113818767
98	0.6110931108
99	0.6108820253
100	0.6105743017
101	0.610251865
102	0.6099273043
103	0.6096313224
104	0.6093832862
105	0.609048718
106	0.6087819526
107	0.6084861462
108	0.6082669333
109	0.607961297
110	0.6075216053
111	0.6072334209
112	0.6069781917
113	0.6067803959
114	0.6065091326
115	0.6062059231
116	0.6057583644
117	0.6055081601
118	0.6052328676
119	0.6049797683
120	0.6046404167
121	0.6042897407
122	0.6037758183
123	0.6034574832
124	0.6030632522
125	0.602687274
126	0.60253536
127	0.602224932
128	0.6018719537
129	0.6015629431
130	0.6012911012
131	0.6008977787
132	0.6006303186
133	0.6003490343
134	0.599965632
135	0.5996346456
136	0.5992256441
137	0.5989221321
138	0.598759944
139	0.5985951046
140	0.5983071787
141	0.5979675852
142	0.5977099399
143	0.5975583675
144	0.5972715351
145	0.5970311621
146	0.5967944855
147	0.5965871549
148	0.5962301845
149	0.5959942896
150	0.5957382822
151	0.5955572371
152	0.5952787623
153	0.5950341298
154	0.5946937188
155	0.5944170467
156	0.5942198297
157	0.5939773416
158	0.5937614012
159	0.5934179041
160	0.5930368416
161	0.5927182079
162	0.592581761
163	0.5923630571
164	0.592109004
165	0.5919197506
166	0.5915632108
167	0.5912415785
168	0.5909784538
169	0.5907210067
170	0.5904708649
171	0.5902204307
172	0.5900245069
173	0.5897341459
174	0.5893885041
175	0.5892275079
176	0.5888806891
177	0.5886766446
178	0.5883735619
179	0.5880213036
180	0.5877294141
181	0.5875184488
182	0.587267988
183	0.5869751134
184	0.5865280777
185	0.5863663408
186	0.5862137069
187	0.5859141141
188	0.5857190294
189	0.5854852878
190	0.5852160366
191	0.5850375584
192	0.5847397983
193	0.5843678982
194	0.5841393785
195	0.5839257842
196	0.5837339928
