iter	Passed	Remaining
0	16	16659
1	30	14990
2	42	14180
3	57	14373
4	71	14185
5	85	14135
6	99	14132
7	113	14112
8	127	14013
9	141	13965
10	155	13953
11	169	13967
12	182	13882
13	196	13867
14	209	13787
15	223	13738
16	237	13724
17	251	13709
18	265	13699
19	278	13669
20	293	13668
21	309	13741
22	323	13759
23	338	13760
24	352	13750
25	366	13735
26	381	13732
27	395	13717
28	409	13702
29	423	13690
30	436	13650
31	450	13624
32	463	13594
33	479	13609
34	492	13577
35	506	13555
36	519	13531
37	533	13500
38	546	13474
39	561	13472
40	575	13452
41	589	13438
42	602	13417
43	616	13395
44	629	13365
45	643	13341
46	657	13323
47	670	13303
48	684	13281
49	698	13268
50	712	13259
51	727	13260
52	741	13251
53	756	13245
54	770	13235
55	783	13207
56	797	13187
57	811	13174
58	824	13149
59	838	13132
60	852	13116
61	865	13098
62	878	13072
63	892	13058
64	907	13052
65	920	13029
66	934	13011
67	948	12998
68	962	12986
69	976	12971
70	990	12959
71	1004	12943
72	1017	12920
73	1031	12901
74	1044	12877
75	1057	12858
76	1071	12838
77	1084	12817
78	1097	12798
79	1111	12786
80	1125	12770
81	1139	12758
82	1153	12741
83	1167	12728
84	1181	12718
85	1195	12706
86	1208	12686
87	1222	12666
88	1236	12652
89	1249	12638
90	1263	12622
91	1277	12603
92	1290	12584
93	1304	12573
94	1318	12562
95	1333	12556
96	1347	12540
97	1360	12525
98	1374	12509
99	1387	12487
100	1402	12480
101	1415	12462
102	1428	12443
103	1441	12422
104	1455	12404
105	1468	12386
106	1482	12374
107	1496	12360
108	1510	12347
109	1524	12336
110	1538	12323
111	1552	12305
112	1566	12293
113	1579	12275
114	1592	12257
115	1605	12234
116	1619	12220
117	1633	12207
118	1647	12200
119	1662	12191
120	1676	12177
121	1691	12169
122	1704	12153
123	1718	12137
124	1732	12126
125	1746	12112
126	1760	12103
127	1774	12090
128	1788	12075
129	1801	12055
130	1814	12036
131	1828	12025
132	1842	12011
133	1856	11997
134	1870	11983
135	1883	11968
136	1897	11956
137	1912	11945
138	1925	11928
139	1939	11912
